ID,Ora di inizio,Ora di completamento,Posta elettronica,Would you like to participate in the questionnaire?,Level of education,"What is your proficiency in English (reading) according to the Common European Framework of Reference for Languages (CEFR) standard? 

(CEFR reference https://www.cambridgeenglish.org/exams-and-te...",Is your level certified?,Gender,Age,How did you hear about this survey?,Survey,Who told you about this survey?
49,2024-12-14 18:38:07,2024-12-14 18:47:22,anonymous,Yes,Master,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,27,Vincenzo Scotti,1,
51,2024-12-16 08:27:50,2024-12-16 08:35:11,anonymous,Yes,Bachelor,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,24,Simone Corbo,1,
52,2024-12-16 08:39:21,2024-12-16 08:48:09,anonymous,Yes,High school,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,19,Simone Corbo,1,
1,2025-06-25 20:35:11,2025-06-25 20:53:23,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,42,,2,Vincenzo Scotti
2,2025-06-25 20:55:05,2025-06-25 20:57:44,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,30,,2,Vincenzo Scotti
3,2025-06-25 21:09:25,2025-06-25 21:17:10,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,29,,2,Vincenzo Scotti
4,2025-06-25 21:08:56,2025-06-25 21:19:30,anonymous,Yes,Ph.D.,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Male,35,,2,Vincenzo Scotti
5,2025-06-25 22:32:32,2025-06-25 22:50:43,anonymous,Yes,Master,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,25,,2,Vincenzo Scotti
6,2025-06-26 13:55:10,2025-06-26 14:22:59,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Female,29,,2,Vincenzo Scotti
7,2025-06-26 17:43:21,2025-06-26 17:45:34,anonymous,Yes,High school,Beginner A1 - Can understand very basic written texts with familiar everyday phrases.,No,Male,31,,2,Vincenzo Scotti
8,2025-06-27 11:10:07,2025-06-27 11:22:52,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,37,,2,Vincenzo Scotti
9,2025-06-27 12:13:32,2025-06-27 12:23:45,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,31,,2,Vincenzo Scotti
10,2025-06-27 16:27:09,2025-06-27 16:34:40,anonymous,Yes,Ph.D.,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,35,,2,Altro
11,2025-06-27 16:39:03,2025-06-27 17:47:48,anonymous,Yes,Ph.D.,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Male,29,,2,Altro
12,2025-06-29 10:46:13,2025-06-29 10:51:03,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,27,,2,Altro
13,2025-06-29 10:51:31,2025-06-29 12:00:38,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,23,,2,Altro
14,2025-06-29 12:00:47,2025-06-29 12:04:13,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,31,,2,Altro
15,2025-06-29 12:05:08,2025-06-29 12:08:23,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,24,,2,Altro
16,2025-06-29 12:08:25,2025-06-29 12:12:32,anonymous,Yes,Master,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,33,,2,Altro
17,2025-06-29 12:12:34,2025-06-29 12:23:18,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,38,,2,Altro
18,2025-06-30 08:28:20,2025-06-30 08:54:11,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Male,33,,2,Vincenzo Scotti
19,2025-06-30 09:17:16,2025-06-30 09:24:29,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,25,,2,Vincenzo Scotti
20,2025-06-30 15:30:52,2025-06-30 15:41:00,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,25,,2,Livia Lestingi
21,2025-06-30 15:32:24,2025-06-30 15:53:39,anonymous,Yes,Master,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,30,,2,Vincenzo Scotti
22,2025-06-30 15:37:15,2025-06-30 15:55:23,anonymous,Yes,Ph.D.,"Upper Intermediate B2 - Can read and understand texts with complex ideas, including articles and reports.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,26,,2,Simone Corbo
23,2025-06-30 15:30:41,2025-06-30 17:10:35,anonymous,Yes,Ph.D.,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Female,30,,2,Livia Lestingi
24,2025-06-30 16:33:31,2025-06-30 17:14:47,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.",No,Female,31,,2,Vincenzo Scotti
25,2025-06-30 18:42:39,2025-06-30 18:54:12,anonymous,Yes,Bachelor,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,23,,2,Luca Bancale
26,2025-07-01 11:16:55,2025-07-01 11:38:44,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,24,,2,Simone Corbo
27,2025-07-01 17:17:48,2025-07-01 17:21:56,anonymous,Yes,Master,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,38,,2,Altro
28,2025-07-03 10:24:22,2025-07-03 10:36:57,anonymous,Yes,Ph.D.,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Male,33,,2,Vincenzo Scotti
29,2025-07-04 19:15:55,2025-07-04 19:21:47,anonymous,Yes,Bachelor,"Proficient C2/Native speaker - Can read virtually any form of written material with ease, including abstract or technical documents.",No,Male,25,,2,Simone Corbo
30,2025-07-04 19:45:42,2025-07-04 19:46:44,anonymous,Yes,High school,Intermediate B1 - Can understand straightforward texts on familiar topics.,"Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Female,23,,2,Simone Corbo
31,2025-07-11 19:39:48,2025-07-11 19:43:35,anonymous,Yes,Ph.D.,"Advanced C1 - Can understand a wide range of demanding, longer texts and recognize implicit meaning.","Yes (e.g., TOEFL, IELTS, Cambridge, etc.)",Male,35,,2,Altro
